Date,strategy_value,benchmark_value
2022-01-26,9974.91204606007,9974.91204606007
2022-01-27,9925.656294398854,9925.656294398854
2022-01-28,10172.164038145604,10172.164038145604
2022-01-31,10355.375570189552,10355.375570189552
2022-02-01,10425.346075319492,10425.346075319494
2022-02-02,10526.61874970718,10526.618749707184
2022-02-03,10279.190849741788,10279.19084974179
2022-02-04,10327.525742775033,10327.525742775037
2022-02-07,10294.38185626134,10294.381856261343
2022-02-08,10379.082587392184,10379.082587392188
2022-02-09,10530.991950178382,10530.991950178388
2022-02-10,10341.79589066661,10341.795890666617
2022-02-11,10137.868902744609,10137.868902744616
2022-02-14,10104.725016230917,10104.725016230925
2022-02-15,10267.68257532479,10267.682575324798
2022-02-16,10279.190849741786,10279.19084974179
2022-02-17,10059.61277719091,10059.612777190914
2022-02-18,9994.476253050823,9994.476253050827
2022-02-22,9887.21905119531,9887.219051195312
2022-02-23,9711.8330614658,9711.833061465804
2022-02-24,9857.987584634173,9857.987584634177
2022-02-25,10075.49425207911,10075.494252079114
2022-02-28,10049.715829770534,10049.715829770537
2022-03-01,9896.655920506366,9896.65592050637
2022-03-02,10078.716906072344,10078.71690607235
2022-03-03,10028.540295783157,10028.540295783163
2022-03-04,9947.062218645548,9947.062218645553
2022-03-07,9653.830908862175,9653.830908862179
2022-03-08,9580.638452148325,9580.638452148329
2022-03-09,9837.503221424773,9837.503221424777
2022-03-10,9793.081450753412,9793.081450753414
2022-03-11,9668.561837272406,9668.561837272408
2022-03-14,9597.900863773819,9597.900863773822
2022-03-15,9808.962925641612,9808.962925641614
2022-03-16,10026.46889067722,10026.468890677223
2022-03-17,10151.909362786195,10151.909362786198
2022-03-18,10231.316034817864,10231.316034817868
2022-03-21,10228.32447349328,10228.324473493285
2022-03-22,10348.010105984431,10348.010105984435
2022-03-23,10214.744091561017,10214.74409156102
2022-03-24,10368.724859453157,10368.724859453163
2022-03-25,10419.361547851666,10419.361547851671
2022-03-28,10493.474863193487,10493.47486319349
2022-03-29,10623.28783336434,10623.287833364344
2022-03-30,10557.691231114934,10557.691231114935
2022-03-31,10395.19445253971,10395.19445253971
2022-04-01,10424.655606950844,10424.655606950846
2022-04-04,10513.959226402889,10513.95922640289
2022-04-05,10381.153992498126,10381.153992498128
2022-04-06,10277.349132485846,10277.34913248585
